,Fiyat,Oda,Alan,Yas,Konum,Kat
180,834,3,33,4,Adalar,14
181,1936,1,61,38,Adalar,11
182,1951,0,16,0,Adalar,13
183,1997,0,39,39,Adalar,11
184,323,0,56,2,Adalar,1
185,1721,0,360,43,Adalar,11
186,880,0,31,0,Adalar,0
187,1246,0,1,78,Adalar,13
188,323,4,175,49,Adalar,14
189,136,0,41,78,Adalar,16
190,880,0,31,0,Adalar,0
191,1264,0,16,0,Adalar,0
192,1285,0,362,60,Adalar,16
193,1921,4,101,39,Adalar,13
194,1285,0,362,60,Adalar,16
195,1409,0,370,45,Adalar,0
196,971,0,41,38,Adalar,11
197,1432,0,41,12,Adalar,11
198,1285,0,362,60,Adalar,16
199,323,0,56,2,Adalar,1
200,1936,4,11,0,Adalar,19
201,1874,0,11,23,Adalar,4
202,1596,0,61,35,Adalar,11
203,233,0,193,38,Adalar,11
204,649,1,366,23,Adalar,0
205,232,0,46,38,Adalar,15
206,834,1,11,49,Adalar,14
207,148,4,41,4,Adalar,14
208,148,4,41,4,Adalar,14
209,1596,0,61,35,Adalar,11
210,232,0,46,38,Adalar,15
211,148,1,12,48,Adalar,13
212,1693,0,332,54,Adalar,13
213,1721,0,31,49,Adalar,13
214,1982,0,220,32,Adalar,13
215,709,0,81,49,Adalar,11
216,709,0,81,49,Adalar,11
217,709,0,81,49,Adalar,11
218,1841,0,31,37,Adalar,1
219,2143,0,21,50,Adalar,13
220,1223,0,46,29,Adalar,13
221,1874,0,11,23,Adalar,4
222,1884,1,21,38,Adalar,11
223,1562,1,11,0,Adalar,19
224,1562,1,11,0,Adalar,19
225,1570,1,41,43,Adalar,11
226,1570,1,41,43,Adalar,11
227,1897,1,6,0,Adalar,14
228,2087,1,81,40,Adalar,0
229,649,1,366,23,Adalar,0
230,1562,1,11,0,Adalar,19
231,1149,1,6,60,Adalar,1
232,1149,1,6,60,Adalar,1
233,1822,0,36,34,Adalar,11
234,2143,4,41,32,Adalar,11
235,232,0,46,38,Adalar,15
236,1738,4,61,0,Adalar,15
237,1382,1,36,32,Adalar,13
238,1562,1,11,0,Adalar,19
239,323,0,56,2,Adalar,1
240,930,0,360,24,Adalar,0
241,1951,0,16,0,Adalar,13
242,1317,0,360,43,Adalar,13
243,1743,3,347,4,Adalar,0
244,930,4,41,17,Adalar,11
245,1024,0,360,32,Adalar,11
246,930,4,41,17,Adalar,11
247,1669,2,44,60,Adalar,0
248,1317,0,334,64,Adalar,13
249,1317,0,360,43,Adalar,13
250,1669,2,44,60,Adalar,0
251,1857,0,56,31,Adalar,13
252,2143,0,81,38,Adalar,11
253,1648,0,121,0,Adalar,16
254,413,0,41,0,Adalar,4
255,413,0,41,0,Adalar,4
256,413,0,41,0,Adalar,4
257,1125,0,259,39,Adalar,0
258,1857,0,56,31,Adalar,13
259,1546,2,31,38,Adalar,11
260,1648,1,71,37,Adalar,1
261,1743,3,347,4,Adalar,0
262,1124,3,41,27,Adalar,0
263,1382,2,360,49,Adalar,0
264,74,2,91,4,Adalar,14
265,74,2,91,4,Adalar,14
266,387,4,347,49,Adalar,11
267,387,4,347,49,Adalar,11
268,1223,0,21,39,Adalar,11
269,1789,0,74,69,Adalar,0
270,1641,4,61,50,Adalar,11
271,431,0,56,46,Adalar,18
272,414,0,56,23,Adalar,10
273,278,1,1,60,Adalar,16
274,414,0,56,23,Adalar,10
275,811,0,353,60,Adalar,13
